Customer_ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
10001,158,12,933385.94,1,1,1,111,Lost
10002,69,20,1983418.76,2,3,3,233,Lost
10003,167,17,1515396.64,1,2,1,121,Lost
10004,73,30,2972122.18,2,5,5,255,At Risk
10005,57,17,1819482.03,2,2,2,222,Lost
10006,185,23,2587439.89,1,4,5,145,At Risk
10007,9,22,2494788.19,5,4,4,544,Loyal
10008,6,13,789134.51,5,1,1,511,New
10009,136,14,1613179.79,1,1,2,112,Lost
10010,5,25,2247553.42,5,5,4,554,Loyal
10011,7,33,3687068.71,5,5,5,555,VIP
10012,5,18,1564589.24,5,2,2,522,New
10013,46,11,639135.03,3,1,1,311,Lost
10014,37,19,1709645.47,3,2,2,322,Lost
10015,95,26,2348695.25,2,5,4,254,At Risk
10016,53,23,2821765.13,3,4,5,345,Lost
10017,15,20,1592116.05,4,3,2,432,New
10018,55,17,2269371.66,3,2,4,324,Lost
10019,12,11,1435676.68,5,1,1,511,New
10020,5,19,2162637.87,5,2,3,523,New
10021,229,20,2177297.45,1,3,3,133,Lost
10022,147,25,3236073.04,1,5,5,155,At Risk
10023,1,24,2400194.27,5,4,4,544,Loyal
10024,161,16,2215539.06,1,1,4,114,Lost
10025,12,18,1843708.92,5,2,2,522,New
10026,31,20,1787202.8399999999,4,3,2,432,New
10027,145,17,1983166.69,1,2,3,123,Lost
10028,30,12,954517.97,4,1,1,411,New
10029,72,23,1559379.99,2,4,2,242,At Risk
10030,134,19,1962493.72,1,2,3,123,Lost
10031,14,21,2538020.69,5,3,4,534,New
10032,16,15,1647475.85,4,1,2,412,New
10033,119,24,2647362.65,1,4,5,145,At Risk
10034,20,20,2292809.4,4,3,4,434,New
10035,68,23,2228259.34,2,4,4,244,At Risk
10036,32,24,1886756.08,3,4,3,343,Lost
10037,15,22,2284692.32,4,4,4,444,Loyal
10038,2,23,1959365.2,5,4,3,543,Loyal
10039,40,21,1842584.45,3,3,2,332,Lost
10040,6,18,1148027.24,5,2,1,521,New
10041,139,19,1857648.68,1,2,2,122,Lost
10042,90,18,1955998.75,2,2,3,223,Lost
10043,25,23,2114594.94,4,4,3,443,Loyal
10044,94,21,1700659.52,2,3,2,232,Lost
10045,25,17,1457503.81,4,2,1,421,New
10046,4,23,2273392.06,5,4,4,544,Loyal
10047,43,21,2677618.39,3,3,5,335,Lost
10048,39,22,2542907.36,3,4,4,344,Lost
10049,67,21,1825309.62,2,3,2,232,Lost
10050,171,15,1406267.32,1,1,1,111,Lost
10051,7,15,1700107.84,5,1,2,512,New
10052,104,17,2087004.81,1,2,3,123,Lost
10053,24,19,2567775.86,4,2,4,424,New
10054,38,19,1894352.29,3,2,3,323,Lost
10055,108,13,1527569.32,1,1,1,111,Lost
